Predicate	ObjectType	Count
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q13649246	1
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q5303685	1
http://www.wikidata.org/prop/direct/P485	http://www.wikidata.org/entity/Q166118	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q11448906	1
http://www.wikidata.org/prop/direct/P19	http://www.wikidata.org/entity/Q16917	1
http://www.wikidata.org/prop/direct/P802	http://www.wikidata.org/entity/Q5	1
http://www.wikidata.org/prop/direct/P1424	http://www.wikidata.org/entity/Q11266439	1
http://www.wikidata.org/prop/direct/P1532	http://www.wikidata.org/entity/Q6256	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q732997	1
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q2143781	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q1011547	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q45400320	1
http://www.wikidata.org/prop/direct/P485	http://www.wikidata.org/entity/Q1546583	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q23002054	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q15383394	1
http://www.wikidata.org/prop/direct/P607	http://www.wikidata.org/entity/Q864113	1
http://www.wikidata.org/prop/direct/P241	http://www.wikidata.org/entity/Q4508	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q18328097	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q1788716	1
http://www.wikidata.org/prop/direct/P413	http://www.wikidata.org/entity/Q1151733	1
http://www.wikidata.org/prop/direct/P20	http://www.wikidata.org/entity/Q515	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q1186171	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q112099	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q6256	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q3624078	1
http://www.wikidata.org/prop/direct/P53	http://www.wikidata.org/entity/Q2006518	1
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q152559	1
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q25295	1
http://www.wikidata.org/prop/direct/P734	http://www.wikidata.org/entity/Q1093580	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q3914	1
http://www.wikidata.org/prop/direct/P135	http://www.wikidata.org/entity/Q968159	1
http://www.wikidata.org/prop/direct/P135	http://www.wikidata.org/entity/Q188451	1
http://www.wikidata.org/prop/direct/P1411	http://www.wikidata.org/entity/Q41254	1
